X,Y,FID,LEAAUNumbe,LEAInstNam,LEACategor,LEAIUNumbe,LEAIU,LEACountyN,LEAStatus,LEAStatusE,LEAWebAddr,LEAMailing,LEAMaili_1,LEAMaili_2,LEAMaili_3,LEAMaili_4,LEAMaili_5,LEALocatio,LEALocat_1,LEALocat_2,LEALocat_3,LEALocat_4,LEALocat_5,LEAPhoneNu,LEAPhone_1,LEAAdminTi,LEAAdminSa,LEAAdminFi,LEAAdminMi,LEAAdminLa,LEAAdminSu,LEAAdminPh,LEAAdmin_1,SchoolInst,SchoolAUNN,SchoolBran,SchoolName,GradeYear,GradeList,GradeCtgy,K4_Half,K4_Full,K5_Half,K5_Full,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Elementary,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12,Secondary_,SchoolCoun,SchoolStat,SchoolSt_1,SchoolWebA,SchoolPhon,SchoolPh_1,SchoolMail,SchoolMa_1,SchoolMa_2,SchoolMa_3,SchoolMa_4,SchoolMa_5,SchoolLoca,SchoolLo_1,SchoolLo_2,SchoolLo_3,SchoolLo_4,SchoolLo_5,SchoolAdmi,SchoolAd_1,SchoolAd_2,SchoolAd_3,SchoolAd_4,SchoolAd_5,CyberSchoo
-80.0058017974526,40.5789511619067,1,103020407,A W Beattie Career Center,Career and Technical Center,3,Allegheny IU 3,Allegheny,Open,1990/07/06 00:00:00+00,http://www.beattietech.com,9600 Babcock Boulevard, ,Allison Park,PA,15101,2005,9600 Babcock Boulevard, ,Allison Park,PA,15101,2005,(412)847-1900, ,Executive Director,Mr,Eric,C,Heasley, ,(412)847-1900,0,Occupational CTC,103020407,5273,A W Beattie Career Center,2017-2018,9-12,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Allegheny,Open,1990/09/06 00:00:00+00,http://www.beattietech.com,(412)847-1900, ,9600 Babcock Boulevard, ,Allison Park,PA,15101,2005,9600 Babcock Boulevard, ,Allison Park,PA,15101,2005,Executive Director,Mr,Eric,C,Heasley, , 
-79.9661926349549,40.4002470258269,2,102020003,Academy CS,Charter School,2,Pittsburgh-Mt Oliver IU 2,Allegheny,Open,2005/08/12 00:00:00+00, ,900 Agnew Rd, ,Pittsburgh,PA,15227,0,900 Agnew Rd, ,Pittsburgh,PA,15227,0,(412)885-5200, ,Chief Executive Officer,Mr,William,G,Styche, , ,0,Regular School,102020003,7846,Academy CS,2017-2018,8-12,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Allegheny,Open,2005/08/15 00:00:00+00, ,(412)885-5200, ,900 Agnew Rd, ,Pittsburgh,PA,15227,0,900 Agnew Rd, ,Pittsburgh,PA,15227,0,Chief Executive Officer,Mr,William,G,Styche, ,FALSE
-79.7838627630217,40.544566947902,3,103020603,Allegheny Valley SD,School District,3,Allegheny IU 3,Allegheny,Open,1999/06/08 00:00:00+00,http://www.avsdweb.org,300 Pearl Ave, ,Cheswick,PA,15024,1066,300 Pearl Ave, ,Cheswick,PA,15024,1066,(724)274-5300, ,Superintendent,Mr,Patrick, ,Graczyk, ,(724)274-5300,5115,Regular School,103020603,24,Colfax Upper El Sch,2017-2018,4-6,ELEMENTARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,1999/03/24 00:00:00+00,http://www.avsdweb.org/,(724)274-7200, ,430 Colfax St, ,Springdale,PA,15144,1299,430 Colfax St, ,Springdale,PA,15144,1299,Elementary Supervisor,Mr,Gregory, ,Heavner, , 
-79.7817163410583,40.5474446035174,4,103020603,Allegheny Valley SD,School District,3,Allegheny IU 3,Allegheny,Open,1999/06/08 00:00:00+00,http://www.avsdweb.org,300 Pearl Ave, ,Cheswick,PA,15024,1066,300 Pearl Ave, ,Cheswick,PA,15024,1066,(724)274-5300, ,Superintendent,Mr,Patrick, ,Graczyk, ,(724)274-5300,5115,Regular School,103020603,29,Springdale JSHS,2017-2018,7-12,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Allegheny,Open,2000/06/30 00:00:00+00,http://www.avsdweb.org/,(724)274-8100, ,501 Butler Rd, ,Springdale,PA,15144,1298,501 Butler Rd, ,Springdale,PA,15144,1298,Principal,Mrs,Michele, ,Welter, , 
-79.8172831997619,40.5456888004396,5,103020603,Allegheny Valley SD,School District,3,Allegheny IU 3,Allegheny,Open,1999/06/08 00:00:00+00,http://www.avsdweb.org,300 Pearl Ave, ,Cheswick,PA,15024,1066,300 Pearl Ave, ,Cheswick,PA,15024,1066,(724)274-5300, ,Superintendent,Mr,Patrick, ,Graczyk, ,(724)274-5300,5115,Regular School,103020603,5296,Acmetonia Primary Sch,2017-2018,K5F-3,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,1999/01/26 00:00:00+00,http://www.avsdweb.org,(724)274-6500, ,300 Pearl Street, ,Cheswick,PA,15024,1066,300 Pearl Street, ,Cheswick,PA,15024,1066,Principal,Mr,Gregory, ,Heavner, , 
-80.0943101865028,40.5422445993773,6,103020753,Avonworth SD,School District,3,Allegheny IU 3,Allegheny,Open,2000/07/25 00:00:00+00,http://www.avonworth.k12.pa.us,258 Josephs Lane, ,Pittsburgh,PA,15237,1223,258 Josephs Lane, ,Pittsburgh,PA,15237,1223,(412)369-8738, ,Superintendent,Dr,Thomas,W,Ralston, ,(412)369-8738,0,Regular School,103020753,34,Avonworth El Sch,2017-2018,3-6,ELEMENTARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,2000/07/24 00:00:00+00, ,(412)366-7170, ,1320 Roosevelt Rd, ,Pittsburgh,PA,15237,1064,1320 Roosevelt Rd, ,Pittsburgh,PA,15237,1064, ,Mr,William, ,Battistone,Jr., 
-80.0791003486934,40.5316501402093,7,103020753,Avonworth SD,School District,3,Allegheny IU 3,Allegheny,Open,2000/07/25 00:00:00+00,http://www.avonworth.k12.pa.us,258 Josephs Lane, ,Pittsburgh,PA,15237,1223,258 Josephs Lane, ,Pittsburgh,PA,15237,1223,(412)369-8738, ,Superintendent,Dr,Thomas,W,Ralston, ,(412)369-8738,0,Regular School,103020753,5199,Avonworth HS,2017-2018,9-12,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Allegheny,Open,2000/07/24 00:00:00+00, ,(412)366-6360, ,304 Josephs Lane, ,Pittsburgh,PA,15237,1252,304 Josephs Lane, ,Pittsburgh,PA,15237,1252,Principal,Mrs,Keera, ,Dwulit, , 
-80.078281563058,40.5326655647222,8,103020753,Avonworth SD,School District,3,Allegheny IU 3,Allegheny,Open,2000/07/25 00:00:00+00,http://www.avonworth.k12.pa.us,258 Josephs Lane, ,Pittsburgh,PA,15237,1223,258 Josephs Lane, ,Pittsburgh,PA,15237,1223,(412)369-8738, ,Superintendent,Dr,Thomas,W,Ralston, ,(412)369-8738,0,Regular School,103020753,7669,Avonworth MS,2017-2018,7-8,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,2000/07/24 00:00:00+00, ,(412)366-9650, ,256 Josephs Lane, ,Pittsburgh,PA,15237,1223,256 Josephs Lane, ,Pittsburgh,PA,15237,1223,Principal,Mr,Mike, ,Hall, , 
-80.0925959485141,40.5421857893951,9,103020753,Avonworth SD,School District,3,Allegheny IU 3,Allegheny,Open,2000/07/25 00:00:00+00,http://www.avonworth.k12.pa.us,258 Josephs Lane, ,Pittsburgh,PA,15237,1223,258 Josephs Lane, ,Pittsburgh,PA,15237,1223,(412)369-8738, ,Superintendent,Dr,Thomas,W,Ralston, ,(412)369-8738,0,Regular School,103020753,8320,Avonworth Primary Center,2017-2018,K5F-2,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,2014/07/01 00:00:00+00, ,(412)366-7171, ,1310 Roosevelt Road, ,Pittsburgh,PA,15237,0,1310 Roosevelt Road, ,Pittsburgh,PA,15237,0,Principal,Mr,Scott, ,Miller, , 
-79.9957680711749,40.3455049749503,10,103021102,Baldwin-Whitehall SD,School District,3,Allegheny IU 3,Allegheny,Open,1999/06/08 00:00:00+00,http://www.bwschools.net,4900 Curry Rd, ,Pittsburgh,PA,15236,1817,4900 Curry Rd, ,Pittsburgh,PA,15236,1817,(412)885-7808, ,Superintendent,Dr,Randal,A,Lutz, ,(412)884-6300,7240,Regular School,103021102,37,McAnnulty El Sch,2017-2018,K5F-1,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,2000/07/12 00:00:00+00,https://www.bwschools.net,(412)714-2020, ,5151 McAnnulty Road, ,Pittsburgh,PA,15236,2521,5151 McAnnulty Road, ,Pittsburgh,PA,15236,2521,Principal,Mr,Daniel,J,Emanuelson, , 
-79.9931639207432,40.3531732255739,11,103021102,Baldwin-Whitehall SD,School District,3,Allegheny IU 3,Allegheny,Open,1999/06/08 00:00:00+00,http://www.bwschools.net,4900 Curry Rd, ,Pittsburgh,PA,15236,1817,4900 Curry Rd, ,Pittsburgh,PA,15236,1817,(412)885-7808, ,Superintendent,Dr,Randal,A,Lutz, ,(412)884-6300,7240,Regular School,103021102,48,Whitehall El Sch,2017-2018,2-5,ELEMENTARY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,1993/07/23 00:00:00+00,https://www.bwschools.net,(412)885-7525, ,4900 Curry Rd, ,Pittsburgh,PA,15236,1817,4900 Curry Rd, ,Pittsburgh,PA,15236,1817,Principal,Mrs,Jennifer, ,Marsteller, , 
-79.9795488665492,40.3555115984242,12,103021102,Baldwin-Whitehall SD,School District,3,Allegheny IU 3,Allegheny,Open,1999/06/08 00:00:00+00,http://www.bwschools.net,4900 Curry Rd, ,Pittsburgh,PA,15236,1817,4900 Curry Rd, ,Pittsburgh,PA,15236,1817,(412)885-7808, ,Superintendent,Dr,Randal,A,Lutz, ,(412)884-6300,7240,Regular School,103021102,50,Baldwin SHS,2017-2018,9-12,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Allegheny,Open,1997/11/10 00:00:00+00,https://www.bwschools.net,(412)885-7500, ,4653 Clairton Blvd, ,Pittsburgh,PA,15236,2149,4653 Clairton Blvd, ,Pittsburgh,PA,15236,2149,Principal,Mr,Walter,A,Graves, , 
-79.9504013985104,40.3811001192929,13,103021102,Baldwin-Whitehall SD,School District,3,Allegheny IU 3,Allegheny,Open,1999/06/08 00:00:00+00,http://www.bwschools.net,4900 Curry Rd, ,Pittsburgh,PA,15236,1817,4900 Curry Rd, ,Pittsburgh,PA,15236,1817,(412)885-7808, ,Superintendent,Dr,Randal,A,Lutz, ,(412)884-6300,7240,Regular School,103021102,5194,Paynter El Sch,2017-2018,K5F-5,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,1998/06/26 00:00:00+00,https://www.bwschools.net,(412)885-7535, ,3454 Pleasantvue Dr, ,Pittsburgh,PA,15227,4334,3454 Pleasantvue Dr, ,Pittsburgh,PA,15227,4334,Principal,Mrs,Patricia, ,Fusco, , 
-80.000033828201,40.3507751983269,14,103021102,Baldwin-Whitehall SD,School District,3,Allegheny IU 3,Allegheny,Open,1999/06/08 00:00:00+00,http://www.bwschools.net,4900 Curry Rd, ,Pittsburgh,PA,15236,1817,4900 Curry Rd, ,Pittsburgh,PA,15236,1817,(412)885-7808, ,Superintendent,Dr,Randal,A,Lutz, ,(412)884-6300,7240,Regular School,103021102,6787,Harrison MS,2017-2018,"6,7-8",ELEMENTARY/SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,2000/07/12 00:00:00+00,https://www.bwschools.net,(412)885-7530, ,129 Windvale Dr, ,Pittsburgh,PA,15236,1854,129 Windvale Dr, ,Pittsburgh,PA,15236,1854,Principal,Mrs,Jill,S,Fleming-Salopek, , 
-80.0540605925811,40.3237600794604,15,103021252,Bethel Park SD,School District,3,Allegheny IU 3,Allegheny,Open,1999/06/08 00:00:00+00,http://www.bpsd.org/,301 Church Rd, ,Bethel Park,PA,15102,1696,301 Church Rd, ,Bethel Park,PA,15102,1696,(412)833-5000, ,Superintendent,Dr,Joseph,W,Pasquerilla, ,(412)854-8402,0,Regular School,103021252,55,Bethel Memorial El Sch,2017-2018,"K5H,1-4",ELEMENTARY,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,1997/07/08 00:00:00+00,http://www.bpsd.org,(412)854-8506, ,3301 S Park Rd, ,Bethel Park,PA,15102,1109,3301 S Park Rd, ,Bethel Park,PA,15102,1109,Principal,Mr,Eric, ,Chalus, , 
-80.0439163393874,40.2986373749103,16,103021252,Bethel Park SD,School District,3,Allegheny IU 3,Allegheny,Open,1999/06/08 00:00:00+00,http://www.bpsd.org/,301 Church Rd, ,Bethel Park,PA,15102,1696,301 Church Rd, ,Bethel Park,PA,15102,1696,(412)833-5000, ,Superintendent,Dr,Joseph,W,Pasquerilla, ,(412)854-8402,0,Regular School,103021252,60,William Penn El Sch,2017-2018,"K5H,1-4",ELEMENTARY,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,2000/07/12 00:00:00+00,http://www.bpsd.org,(412)854-8522, ,110 Woodlet Ln, ,Bethel Park,PA,15102,2399,110 Woodlet Ln, ,Bethel Park,PA,15102,2399,Principal/Director for Cyber & Alt Learning Option,Mr,Brian, ,Lenosky, , 
-80.0422329028332,40.3381853193193,17,103021252,Bethel Park SD,School District,3,Allegheny IU 3,Allegheny,Open,1999/06/08 00:00:00+00,http://www.bpsd.org/,301 Church Rd, ,Bethel Park,PA,15102,1696,301 Church Rd, ,Bethel Park,PA,15102,1696,(412)833-5000, ,Superintendent,Dr,Joseph,W,Pasquerilla, ,(412)854-8402,0,Regular School,103021252,61,Independence MS,2017-2018,7-8,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,2005/05/12 00:00:00+00,http://www.bpsd.org,(412)854-8677, ,2807 Bethel Church Rd, ,Bethel Park,PA,15102,1694,2807 Bethel Church Rd, ,Bethel Park,PA,15102,1694,Principal,Mr,David, ,Muench, , 
